,"CSF1PO","CSF1PO","CSF1PO","FGA","FGA","FGA","TH01","TH01","TH01","TPOX","TPOX","TPOX","VWA","VWA","VWA","D3S1358","D3S1358","D3S1358","D5S818","D5S818","D5S818","D7S820","D7S820","D7S820","D8S1179","D8S1179","D8S1179","D13S317","D13S317","D13S317","D16S539","D16S539","D16S539","D18S51","D18S51","D18S51","D21S11","D21S11","D21S11","D2S1338","D2S1338","D2S1338","D19S433","D19S433","D19S433",
"Allele","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","302 Cau","258 AA","140 His","Allele"
5,,,,,,,0.00166,0.00388,,0.00166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
6,,,,,,,0.23179,0.12403,0.21429,0.00166,0.10078,0.00357,,,,,,,,,,,0.00194,,,,,,,,,,,,,,,,,,,,,,,6
7,,0.05253,0.02143,,,,0.19040,0.42054,0.27857,,0.01744,0.00714,,,,,,,0.00166,,0.04286,0.01821,0.01550,0.01429,,,,,,,,,,,,,,,,,,,,,,7
8,0.00497,0.06031,,,,,0.08444,0.19380,0.09643,0.53477,0.37209,0.47143,,,,,,,0.00331,0.04845,0.01071,0.15066,0.23643,0.12143,0.01159,0.00194,0.00714,0.11258,0.03295,0.12143,0.01821,0.03876,0.02500,,,,,,,,,,,,,8
8.1,,,,,,,,,,,,,,,,,,,,,,0.00166,,,,,,,,,,,,,,,,,,,,,,,,8.1
9,0.01159,0.03696,0.02143,,,,0.11424,0.15116,0.15000,0.11921,0.17829,0.10357,,,,,,,0.04967,0.03876,0.04286,0.17715,0.10853,0.11071,0.00331,0.00581,0.01071,0.07450,0.03295,0.15357,0.11258,0.19574,0.13929,,0.00389,,,,,,,,,,0.00357,9
9.3,,,,,,,0.36755,0.10465,0.24643,,,,,,,,,,,,,,0.00194,,,,,,,,,,,,,,,,,,,,,,,9.3
10,0.21689,0.25681,0.23214,,,,0.00828,0,0.01429,0.05629,0.08915,0.03214,,,,,,,0.05132,0.07,0.06071,0.24338,0.33140,0.29286,0.10099,0.02907,0.10000,0.05132,0.02326,0.10000,0.05629,0.11628,0.11786,0.00828,0.00584,0.00357,,,,,,,0.00166,0.00969,,10
10.3,,,0.00357,,,,,,,,,,,,,,,,,,,,,0.00357,,,,,,,,,,,,,,,,,,,,,,10.3
11,0.30132,0.24903,0.29286,,,,0.00166,,,0.24338,0.22,0.27500,,,,0.00166,,,0.36093,0.23,0.35000,0.20695,0.20349,0.25714,0.08278,0.04457,0.05714,0.33940,0.30620,0.23571,0.32119,0.31783,0.26071,0.01656,0.00195,0.01071,,,,,,,0.00497,0.06202,0.01429,11
12,0.36093,0.29767,0.35714,,,,,,,0.04139,0.02,0.10714,,0,,,,,0.38411,0.35,0.35000,0.16556,0.08721,0.16429,0.18543,0.14147,0.14286,0.24834,0.42442,0.22143,0.32616,0.19574,0.25357,0.12748,0.07782,0.11786,,,,,,,0.08113,0.11434,0.06429,12
12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00166,0.03488,0.01429,12.2
13,0.09603,0.03696,0.06071,,,,,,,0.00166,0,,0.00166,0.01,,,0,0.00714,0.14073,0.24,0.12500,0.03477,0.01357,0.03571,0.30464,0.21705,0.26786,0.12417,0.14535,0.11786,0.14570,0.11822,0.18571,0.13245,0.05253,0.11071,,,,,,,0.25331,0.24612,0.25000,13
13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00584,,,,,,,,0.00662,0.05233,0.03214,13.2
14,0.00828,0.00973,0.00714,,,,,,,,,,0.09437,0.08,0.08571,0.10265,0.09,0.07857,0.00662,0.01550,0.01429,0.00166,,,0.16556,0.30039,0.25000,0.04801,0.03488,0.04643,0.01987,0.01744,0.01786,0.13742,0.07198,0.13929,,,,,,,0.36921,0.22287,0.37500,14
14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00166,,,,,,,,,0.01821,0.07946,0.04286,14.2
15,,,0.00357,,,,,,,,,,0.11093,0.19,0.16786,0.26159,0.3,0.29286,0.00166,0,0.00357,,,,0.11424,0.18411,0.12857,0.00166,,0.00357,,,,0.15894,0.16148,0.18929,,,,0.00166,,,0.15232,0.07752,0.12143,15
15.2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.00195,,,,,,,,0.03477,0.06008,0.03571,15.2
16,,,,,,,,,,,,,0.20033,0.24806,0.26429,0.25331,0.33527,0.28571,,,,,,,0.03146,0.06977,0.02500,,,,,,,0.13907,0.15759,0.13571,,,,0.03311,0.05837,0.03571,0.04967,0.00388,0.02143,16
16.2,,,,,0.00194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01490,0.02713,0.02500,16.2
17,,,,,,,,,,,,,0.28146,0.24225,0.21786,0.21523,0.20543,0.20357,,,,,,,,0.00388,0.00714,,,,,,,0.12583,0.15175,0.12857,,,,0.18212,0.09922,0.19643,0.00828,,,17
17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00166,0.00581,,17.2
18,,,,0.02649,0.00194,0.01786,,,,,,,0.20033,0.15504,0.17143,0.15232,0.06008,0.12500,,,,,,,,0.00194,0.00357,,,,,,,0.07616,0.12257,0.06786,,,,0.07947,0.03891,0.10000,,,,18
18.2,,,,,0.01163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00166,0.00388,,18.2
